City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hurricane,37.1753,-113.2899,280.15,72,0,1.34,US,1707794854
1,strezhevoy,60.7333,77.5889,240.91,100,100,1.79,RU,1707794854
2,edinburgh of the seven seas,-37.0676,-12.3116,290.47,76,99,5.77,SH,1707794854
3,port saint john's,-31.6229,29.5448,293.84,88,7,5.26,ZA,1707794854
4,port-aux-francais,-49.35,70.2167,280.65,88,99,12.69,TF,1707794855
5,blackmans bay,-43.0167,147.3167,294.11,67,47,2.7,AU,1707794855
6,puerto natales,-51.7236,-72.4875,280.36,89,100,2.34,CL,1707794855
7,sisimiut,66.9395,-53.6735,248.45,88,30,2.92,GL,1707794585
8,bardai,11.65,7.2333,295.33,11,0,3.99,NG,1707794855
9,jinotega,13.0917,-86.0018,292.72,73,23,1.76,NI,1707794855
10,chonchi,-42.6128,-73.8092,284.71,78,74,1.37,CL,1707794855
11,invercargill,-46.4,168.35,294.3,51,78,3.65,NZ,1707794650
12,mejit,10.2753,170.8646,299.48,70,100,10.01,MH,1707794855
13,kabala,9.5833,-11.55,295.06,77,2,1.64,SL,1707794855
14,cudillero,43.5622,-6.1459,282.66,87,0,1.54,ES,1707794856
15,bubaque,11.2833,-15.8333,299.42,68,0,5.5,GW,1707794856
16,east london,-33.0153,27.9116,293.67,88,0,2.06,ZA,1707794856
17,la'ie,21.6477,-157.9253,301.13,62,13,2.68,US,1707794856
18,margaret river,-33.95,115.0667,296.1,38,0,5.25,AU,1707794856
19,arteche,12.2645,125.4048,299.06,88,69,6.82,PH,1707794856
20,grytviken,-54.2811,-36.5092,277.19,96,100,2.45,GS,1707794856
21,port elizabeth,-33.918,25.5701,293.31,91,20,9.77,ZA,1707794839
22,olonkinbyen,70.9221,-8.7187,271.45,97,100,9.4,SJ,1707794856
23,sao joao da barra,-21.6403,-41.0511,298.17,90,71,6.87,BR,1707794796
24,kapa'a,22.0752,-159.319,299.33,67,0,4.12,US,1707794857
25,la toma,-33.0526,-65.6238,288.3,78,7,2.19,AR,1707794857
26,haiku-pauwela,20.9219,-156.3051,299.16,69,20,4.63,US,1707794857
27,bikenibeu village,1.3673,173.1241,301.13,89,75,5.14,KI,1707794857
28,rio grande,-32.035,-52.0986,295.9,93,100,3.32,BR,1707794857
29,albany,42.6001,-73.9662,274.39,72,93,1.58,US,1707794857
30,brookings,44.3114,-96.7984,272.15,89,0,0.0,US,1707794857
31,iqaluit,63.7506,-68.5145,248.0,70,100,2.06,CA,1707794857
32,bartica,6.4,-58.6167,300.33,98,95,0.73,GY,1707794857
33,waitangi,-43.9535,-176.5597,290.27,78,32,3.58,NZ,1707794857
34,sanctuary point,-35.1114,150.629,304.25,56,9,7.36,AU,1707794858
35,adamstown,-25.066,-130.1015,298.15,90,100,6.54,PN,1707794858
36,sitka,57.0531,-135.33,276.09,87,0,2.06,US,1707794535
37,rurrenabaque,-14.4413,-67.5278,296.54,99,91,1.0,BO,1707794858
38,hermanus,-34.4187,19.2345,294.15,89,85,2.61,ZA,1707794858
39,tomaszow lubelski,50.4477,23.4162,278.14,90,98,3.35,PL,1707794858
40,stanley,54.868,-1.6985,277.16,85,40,8.75,GB,1707794858
41,broome,42.2506,-75.833,273.15,87,0,1.54,US,1707794859
42,st. john's,47.5649,-52.7093,274.14,93,100,5.14,CA,1707794859
43,fort mcmurray,56.7268,-111.381,272.92,64,75,7.2,CA,1707794819
44,paragominas,-2.9667,-47.4833,296.28,98,100,2.1,BR,1707794605
45,vorgashor,67.5833,63.95,236.68,99,35,2.3,RU,1707794859
46,portland,45.5234,-122.6762,281.8,87,20,1.34,US,1707794577
47,turceni,44.6833,23.3667,281.99,78,100,4.86,RO,1707794859
48,west island,-12.1568,96.8225,303.14,70,40,5.14,CC,1707794859
49,ushuaia,-54.8,-68.3,281.96,71,0,1.54,AR,1707794859
50,antonio enes,-16.2325,39.9086,296.79,99,100,2.43,MZ,1707794859
51,ancud,-41.8697,-73.8203,286.57,68,55,1.93,CL,1707794860
52,la junta,37.985,-103.5438,272.63,86,0,3.6,US,1707794712
53,whitehorse,60.7161,-135.0538,269.58,68,100,1.03,CA,1707794860
54,yelizovo,53.1873,158.3805,263.23,40,20,1.0,RU,1707794860
55,miquelon,47.0975,-56.3814,273.15,84,100,7.65,PM,1707794860
56,chegdomyn,51.1167,133.0167,267.7,92,100,1.3,RU,1707794860
57,bredasdorp,-34.5322,20.0403,291.11,96,70,2.55,ZA,1707794860
58,kupino,54.3663,77.2981,252.88,99,86,3.5,RU,1707794860
