City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bac lieu,45.3919,19.2367,281.33,79,92,3.26,RS,1707361168
1,meknes,33.9776,-5.525,280.64,56,0,4.12,MA,1707361349
2,santa cruz de tenerife,17.486,120.4348,302.05,93,4,2.56,PH,1707361326
3,port-aux-francais,-49.35,70.2167,277.53,71,80,12.36,TF,1707361145
4,bethel,41.3712,-73.414,275.67,65,100,2.06,US,1707361141
5,palikir - national government center,6.9248,158.1611,300.29,77,100,7.95,FM,1707361139
6,lazaro cardenas,19.4558,-71.3261,289.82,77,15,2.27,DO,1707361166
7,ushuaia,-54.8,-68.3,281.94,66,75,1.54,AR,1707361152
8,adamstown,-25.066,-130.1015,297.35,75,100,5.52,PN,1707360803
9,yaren,-0.5472,166.916,302.4,78,100,8.25,NR,1707361350
10,papatowai,-46.5619,169.4708,287.53,68,24,8.68,NZ,1707361157
11,port alfred,-7.0349,29.7638,295.09,80,68,2.28,CD,1707361216
12,saint-philippe,-21.3585,55.7679,298.92,87,88,5.51,RE,1707361350
13,iskateley,67.6803,53.1512,255.94,96,100,5.81,RU,1707361188
14,edinburgh of the seven seas,55.9521,-3.1965,272.1,83,97,1.0,GB,1707361140
15,yarmolyntsi,49.1924,26.8373,274.3,98,100,3.32,UA,1707361350
16,barretos,-20.5572,-48.5678,293.72,97,100,2.01,BR,1707361345
17,qaqortoq,60.7167,-46.0333,266.32,78,100,2.12,GL,1707361151
18,grytviken,-54.2811,-36.5092,282.51,64,100,5.27,GS,1707361138
19,isafjordur,66.0755,-23.124,265.01,73,1,1.63,IS,1707361157
20,waitangi,-43.9535,-176.5597,293.05,80,100,2.33,NZ,1707361141
21,kapa'a,22.0752,-159.319,300.14,72,100,6.69,US,1707361351
22,avarua,-21.2078,-159.775,301.18,78,75,7.72,CK,1707361156
23,grand ledge,38.8755,-109.5012,278.68,66,100,7.83,US,1707361351
24,afaahiti,-17.75,-149.2833,301.08,88,100,14.82,PF,1707361184
25,mel'nikovo,56.5558,84.085,266.07,85,100,3.4,RU,1707361353
26,college,64.8569,-147.8028,258.14,72,40,1.54,US,1707361148
27,togur,58.3631,82.8265,265.45,93,100,3.13,RU,1707361353
28,alofi,-19.0595,-169.9187,304.09,66,40,4.12,NU,1707361187
29,ancud,-41.8697,-73.8203,284.06,81,92,3.33,CL,1707361170
30,port mathurin,-7.0349,29.7638,295.09,80,68,2.28,CD,1707361162
31,olonkinbyen,70.9221,-8.7187,270.32,56,91,5.75,SJ,1707361159
32,ribeira grande,42.7461,-8.4439,289.58,77,75,8.23,ES,1707361144
33,ji'an,27.1172,114.9793,276.21,91,100,3.13,CN,1707361354
34,sisimiut,66.9395,-53.6735,259.01,96,100,4.66,GL,1707361155
35,axim,4.8699,-2.2405,298.29,87,5,1.66,GH,1707361355
36,anadyr,64.75,177.4833,256.43,85,75,9.0,RU,1707361141
37,petropavlovsk-kamchatsky,53.0452,158.6483,267.48,80,75,1.0,RU,1707361139
38,aasiaat,68.7098,-52.8699,253.04,97,100,0.99,GL,1707361157
39,yellowknife,62.456,-114.3525,256.44,85,100,3.6,CA,1707360916
40,port elizabeth,-7.0349,29.7638,295.09,80,68,2.28,CD,1707361155
41,totskoye,52.5248,52.7623,268.09,95,100,7.0,RU,1707361355
42,pangai,-19.8,-174.35,303.21,74,75,3.6,TO,1707361355
43,cole harbour,38.5003,-92.2835,285.68,71,100,5.91,US,1707361356
44,tazovsky,67.4667,78.7,265.46,95,100,5.42,RU,1707361158
45,bonthe,7.5264,-12.505,297.9,93,16,1.47,SL,1707361179
46,arica,-18.475,-70.3042,299.9,61,0,2.06,CL,1707361356
47,atar,20.5169,-13.0499,293.38,10,0,3.92,MR,1707361356
48,achikulak,44.5517,44.8378,279.46,61,100,3.55,RU,1707361357
49,gisborne,-38.6533,178.0042,298.29,63,22,1.93,NZ,1707361357
50,franklin,39.9667,-83.0166,281.66,50,75,2.06,US,1707361357
51,hithadhoo,-0.6,73.0833,300.63,77,92,3.77,MV,1707361163
52,howrah,22.5892,88.3103,291.15,72,2,1.54,IN,1707361357
53,jamestown,42.097,-79.2353,276.95,63,0,2.06,US,1707361074
54,nikol'sk,53.7189,46.0712,272.05,92,100,7.67,RU,1707361358
55,puerto natales,36.5939,-6.233,284.05,93,100,3.09,ES,1707361148
56,sitka,57.0531,-135.33,275.09,75,40,2.06,US,1707361080
57,oranjemund,-28.55,16.4333,290.34,88,23,3.41,NA,1707361164
58,tiksi,71.6872,128.8694,252.48,99,100,2.29,RU,1707361138
59,west island,31.8024,-97.0917,290.01,74,0,5.14,US,1707361142
60,luderitz,-26.6481,15.1594,290.93,74,92,4.77,NA,1707361151
61,vadso,70.0744,29.7487,258.24,85,100,2.06,NO,1707361169
62,enewetak,11.3474,162.3373,299.8,80,100,8.69,MH,1707361175
63,georgetown,5.4112,100.3354,304.79,80,20,4.12,MY,1707361149
64,touros,-5.1989,-35.4608,299.9,81,41,4.66,BR,1707360891
65,richards bay,46.8361,-95.9123,281.17,76,100,7.2,US,1707361157
66,bilibino,68.0546,166.4372,238.4,100,98,0.38,RU,1707361143
67,talnakh,69.4865,88.3972,247.55,89,28,1.94,RU,1707361139
68,iqaluit,63.7506,-68.5145,254.0,55,20,8.23,CA,1707361140
69,buta,2.7858,24.73,292.02,50,6,0.92,CD,1707361359
70,port glaud,-7.0349,29.7638,295.09,80,68,2.28,CD,1707361158
71,port douglas,-7.0349,29.7638,295.09,80,68,2.28,CD,1707361162
72,invercargill,-46.4,168.35,287.6,78,68,8.05,NZ,1707360875
73,margaret river,33.6862,-86.475,285.92,65,100,1.97,US,1707361155
